,ID,Operacao,Emissao,CNPJ,Cliente,MWh,Unidade,Total
0,NFe26230521185583000223550010000001351081985560,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:10:41-03:00,33050071000158,AMPLA ENERGIA E SERVICOS S.A.,226.7630,133.46,30263.79
1,NFe26230521185583000223550010000001361752812970,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:13:07-03:00,02302100000106,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,61.4170,133.459954,8196.71
2,NFe26230521185583000223550010000001371248519863,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:16:59-03:00,05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,125.1970,133.459987,16708.79
3,NFe26230521185583000223550010000001381056062072,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:18:28-03:00,12272084000100,COMPANHIA ENERGETICA DE ALAGOAS - CEAL,47.7397,133.460086,6371.34
4,NFe26230521185583000223550010000001391015506941,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:26:22-03:00,08467115000100,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA,64.4487,133.460015,8601.32
5,NFe26230521185583000223550010000001401393507868,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:27:15-03:00,01543032000104,CELG DISTRIBUICAO S.A.,172.1013,133.459977,22968.64
6,NFe26230521185583000223550010000001411404317250,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:28:44-03:00,04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,112.4507,133.460036,15007.67
7,NFe26230521185583000223550010000001421852459820,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:40:26-03:00,10835932000108,COMPANHIA ENERGETICA DE PERNAMBUCO,28.6437,133.459869,3822.78
8,NFe26230521185583000223550010000001431667966840,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:42:27-03:00,06272793000184,COMPANHIA ENERGETICA DO MARANHAO,127.9180,133.460029,17071.94
9,NFe26230521185583000223550010000001441095870335,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:46:43-03:00,06981180000116,CEMIG DISTRIBUICAO S.A.,312.6943,133.460014,41732.19
10,NFe26230521185583000223550010000001451323385492,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-04T10:48:01-03:00,06840748000189,COMPANHIA ENERGETICA DO PIAUI,76.3833,133.460004,10194.12
