,ID,Operacao,Emissao,CNPJ,Cliente,MWh,Unidade,Total
0,NFe26230521185583000223550010000001631472974609,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:12:01-03:00,33050071000158,AMPLA ENERGIA E SERVICOS S.A.,438.8960,133.46,58575.06
1,NFe26230521185583000223550010000001641370838819,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:20:42-03:00,02302100000106,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,118.8713,133.459931,15864.56
2,NFe26230521185583000223550010000001651346572615,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:22:05-03:00,05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,242.3167,133.45999,32339.58
3,NFe26230521185583000223550010000001661377119243,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:24:28-03:00,12272084000100,COMPANHIA ENERGETICA DE ALAGOAS - CEAL,92.3993,133.460054,12331.62
4,NFe26230521185583000223550010000001671468989310,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:25:34-03:00,08467115000100,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA,124.7393,133.460069,16647.72
5,NFe26230521185583000223550010000001681406012809,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:27:59-03:00,01543032000104,CELG DISTRIBUICAO S.A.,333.0993,133.460009,44455.44
6,NFe26230521185583000223550010000001691139160272,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:29:51-03:00,04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,217.6467,133.459981,29047.12
7,NFe26230521185583000223550010000001701825839557,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:31:29-03:00,10835932000108,COMPANHIA ENERGETICA DE PERNAMBUCO,55.4393,133.460119,7398.94
8,NFe26230521185583000223550010000001711501808840,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:44:25-03:00,06272793000184,COMPANHIA ENERGETICA DO MARANHAO,247.5833,133.460034,33042.48
9,NFe26230521185583000223550010000001721672213546,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:45:45-03:00,06981180000116,CEMIG DISTRIBUICAO S.A.,605.2147,133.459984,80771.94
10,NFe26230521185583000223550010000001731059793158,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:46:51-03:00,06840748000189,COMPANHIA ENERGETICA DO PIAUI,147.8387,133.459943,19730.54
11,NFe26230521185583000223550010000001741660984911,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:48:33-03:00,15139629000194,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,577.4953,133.459988,77072.52
12,NFe26230521185583000223550010000001751292230807,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:51:48-03:00,07047251000170,COMPANHIA ENERGETICA DO CEARA,200.9680,133.459954,26821.18
13,NFe26230521185583000223550010000001761563363848,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:53:24-03:00,04368898000106,COPEL DISTRIBUICAO S.A.,554.3953,133.459998,73989.60
14,NFe26230521185583000223550010000001771889792277,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:54:59-03:00,08324196000181,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE,124.7393,133.460069,16647.72
15,NFe26230521185583000223550010000001781269551521,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:56:30-03:00,02328280000197,ELEKTRO REDES S.A.,508.1960,133.460004,67823.84
16,NFe26230521185583000223550010000001791487155684,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T10:59:41-03:00,19527639000158,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,49.2027,133.45984,6566.58
17,NFe26230521185583000223550010000001801635568028,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:00:40-03:00,15413826000150,ENERGISA MATO GROSSO DO SUL-DISTRIBUIDORA DE ENERGIA S.A.,140.2620,133.459954,18719.36
18,NFe26230521185583000223550010000001811337318993,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:02:18-03:00,03467321000199,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,432.4280,133.459998,57711.84
19,NFe26230521185583000223550010000001821272873987,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:03:17-03:00,09095183000140,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A.,107.5987,133.460018,14360.12
20,NFe26230521185583000223550010000001831195197215,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:04:43-03:00,05914650000166,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A.,314.1573,133.460007,41927.44
21,NFe26230521185583000223550010000001841975756237,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:05:33-03:00,13017462000163,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A.,76.3220,133.460077,10185.94
22,NFe26230521185583000223550010000001851462185781,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:14:49-03:00,25086034000171,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,67.6360,133.459992,9026.70
23,NFe26230521185583000223550010000001861375554573,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:15:49-03:00,28152650000171,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,309.0753,133.460019,41249.20
24,NFe26230521185583000223550010000001871640859184,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T11:16:49-03:00,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,249.4780,133.460025,33295.34
